run_id,iter,time_this_iter_s,time_total_s,delta_env_steps,cum_env_steps,episodes_this_iter,throughput_steps_per_s,train_episode_return_mean,train_episode_return_min,train_episode_return_max,train_episode_len_mean,train_episode_len_min,train_episode_len_max,train_return_archer_0,train_return_mean_all_agents,total_loss,policy_loss,vf_loss,entropy,mean_kl,curr_kl_coeff,curr_entropy_coeff,vf_explained_var,grad_norm,lr,module_train_batch_size_mean,num_trainable_parameters,num_module_steps_trained,num_module_steps_trained_lifetime,weights_seq_no,cpu_util_percent,ram_util_percent
ppo_kaz_2025-08-31_11-06-06_seed111,0,6.888617277145386,6.888617277145386,512,1280,2.0,74.32551111507978,4.749999999999999,1.0,6.0,209.75,167,224,4.749999999999999,4.749999999999999,0.18785189,0.11312102,0.08993563,1.7771074,0.012831441,0.20000000298023224,0.01,0.48481405,0.35311037,0.0001,128.0,146695,15616,15616,1.0,64.32000000000001,90.98
ppo_kaz_2025-08-31_11-06-06_seed111,1,6.364592552185059,13.253209829330444,512,1792,3.0,80.44505532788942,2.75,1.0,6.0,186.875,164,224,2.75,2.75,0.0032145132,-0.056645304,0.07291537,1.7389661,0.021670511,0.30000001192092896,0.01,0.7670739,0.5450775,0.0001,128.0,146695,15616,31232,2.0,70.02222222222223,91.47777777777777
ppo_kaz_2025-08-31_11-06-06_seed111,2,6.691003322601318,19.944213151931763,512,2304,3.0,76.52066144856515,2.2142857142857144,1.0,6.0,179.0,112,224,2.2142857142857144,2.2142857142857144,0.014330449,-0.06574824,0.09284727,1.7364007,0.01531803,0.30000001192092896,0.01,0.67800045,0.23591617,0.0001,128.0,146695,15616,46848,3.0,71.26,90.3
ppo_kaz_2025-08-31_11-06-06_seed111,3,6.790228843688965,26.734441995620728,512,2816,3.0,75.40246607091419,2.5641025641025643,1.0,6.0,178.66666666666666,112,224,2.5641025641025643,2.5641025641025643,0.14618456,0.013329052,0.1435987,1.7325705,0.021941587,0.45000001788139343,0.01,0.5556846,0.42437798,0.0001,128.0,146695,15616,62464,4.0,68.06666666666666,86.83333333333333
ppo_kaz_2025-08-31_11-06-06_seed111,4,15.909025192260742,42.64346718788147,512,3328,3.0,32.18299008345731,2.549019607843137,1.0,6.0,178.6078431372549,112,224,2.549019607843137,2.549019607843137,-0.14460474,-0.2364232,0.10420107,1.7290167,0.010905622,0.45000001788139343,0.01,0.48583436,0.4580001,0.0001,128.0,146695,15616,78080,5.0,59.69545454545453,85.7909090909091
ppo_kaz_2025-08-31_11-06-06_seed111,5,5.3701560497283936,48.01362323760986,512,3840,3.0,95.3417359307269,2.296875,0.0,6.0,175.0,112,224,2.296875,2.296875,-0.029262051,-0.066318326,0.047437172,1.7106991,0.014946849,0.45000001788139343,0.01,0.5750688,0.3417188,0.0001,128.0,146695,15616,93696,6.0,54.5625,86.025
ppo_kaz_2025-08-31_11-06-06_seed111,6,8.901283025741577,56.91490626335144,512,4352,4.0,57.519797822330744,2.1794871794871793,0.0,6.0,171.5,112,224,2.1794871794871793,2.1794871794871793,0.087282345,0.009763372,0.09022415,1.71373,0.009849147,0.45000001788139343,0.01,0.30382568,0.23226885,0.0001,128.0,146695,15616,109312,7.0,83.23846153846154,88.41538461538462
ppo_kaz_2025-08-31_11-06-06_seed111,7,10.301517009735107,67.21642327308655,512,4864,3.0,49.701417715094905,2.077777777777778,0.0,6.0,170.7111111111111,96,244,2.077777777777778,2.077777777777778,0.110009596,0.06318346,0.05743463,1.7222483,0.014697743,0.45000001788139343,0.01,0.6339129,0.29986316,0.0001,128.0,146695,15616,124928,8.0,74.9,91.37692307692308
ppo_kaz_2025-08-31_11-06-06_seed111,8,7.588869094848633,74.80529236793518,512,5376,3.0,67.46723307528767,1.95,0.0,6.0,168.0,87,244,1.95,1.95,-0.05899909,-0.11330212,0.06458364,1.6986228,0.014901329,0.45000001788139343,0.01,0.7868361,0.5232362,0.0001,128.0,146695,15616,140544,9.0,62.654545454545456,90.67272727272727
ppo_kaz_2025-08-31_11-06-06_seed111,9,16.47522783279419,91.28052020072937,512,5888,3.0,31.076960221506393,1.95,0.0,5.0,165.63,87,244,1.95,1.95,0.0806478,-0.0066998303,0.09838691,1.6726173,0.01263755,0.45000001788139343,0.01,0.62928104,0.35960084,0.0001,128.0,146695,15616,156160,10.0,60.88695652173914,88.90434782608696
ppo_kaz_2025-08-31_11-06-06_seed111,10,5.826280117034912,97.10680031776428,512,6400,3.0,87.87768348161143,2.09,0.0,5.0,163.65,87,244,2.09,2.09,0.07360856,-0.03899246,0.12511905,1.6822917,0.009566443,0.45000001788139343,0.01,0.5552973,0.26054254,0.0001,128.0,146695,15616,171776,11.0,60.2125,87.41250000000001
ppo_kaz_2025-08-31_11-06-06_seed111,11,6.534141778945923,103.6409420967102,512,6912,3.0,78.35765083178147,1.9,0.0,5.0,163.5,87,244,1.9,1.9,0.15586706,0.06252623,0.10374947,1.6075993,0.012594048,0.45000001788139343,0.01,0.48134172,0.49598157,0.0001,128.0,146695,15616,187392,12.0,65.8777777777778,87.5
